i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
3017-001-01,2020-21,Mainland Rural,0,0,0,1,2,0,1,1,0,1,0,1,0,0,1.945910149
3018-001-02,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3019-001-01,2020-21,Mainland Rural,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
3020-001-01,2020-21,Mainland Rural,0,0,1,1,2,0,1,1,1,0,0,1,1,0,2.197224577
3020-001-04,2020-21,Mainland Rural,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
3021-001-01,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.098612289
3022-001-01,2020-21,Mainland Rural,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469
3033-001-01,2020-21,Mainland Rural,0,1,1,0,1,2,0,0,0,1,0,0,0,0,1.791759469
3034-001-01,2020-21,Mainland Rural,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1.791759469
3035-001-01,2020-21,Mainland Rural,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1.791759469
3037-001-01,2020-21,Mainland Rural,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
3038-001-01,2020-21,Mainland Rural,1,3,1,0,1,1,1,2,1,3,1,1,0,0,2.772588722
3039-001-01,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1.386294361
3040-001-01,2020-21,Mainland Rural,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1.609437912
3042-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1.098612289
3052-001-01,2020-21,Mainland Other Urban,1,1,1,0,0,0,1,0,0,1,2,0,0,1,2.079441542
3055-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3055-001-02,2020-21,Mainland Other Urban,1,0,1,1,1,0,0,2,1,2,1,1,0,0,2.397895273
3056-001-01,2020-21,Mainland Other Urban,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1.791759469
3056-001-03,2020-21,Mainland Other Urban,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
3056-001-04,2020-21,Mainland Other Urban,1,1,1,0,0,0,0,0,1,2,0,0,0,0,1.791759469
3056-001-05,2020-21,Mainland Other Urban,2,0,0,0,1,0,0,2,0,0,1,1,0,0,1.945910149
3056-001-10,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3057-001-01,2020-21,Mainland Other Urban,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1.386294361
3058-001-01,2020-21,Mainland Other Urban,0,0,1,0,1,2,2,1,0,0,0,1,0,1,2.197224577
3059-001-01,2020-21,Mainland Other Urban,0,1,0,2,0,0,0,1,0,0,1,1,0,0,1.791759469
3071-001-01,2020-21,Mainland Rural,0,2,1,1,3,0,1,1,2,3,1,0,0,0,2.708050201
3073-001-01,2020-21,Mainland Rural,1,1,0,2,0,0,0,0,1,2,0,0,0,0,1.945910149
3074-001-01,2020-21,Mainland Rural,0,1,0,0,0,0,2,0,0,1,0,0,1,2,1.945910149
3074-001-03,2020-21,Mainland Rural,1,1,3,0,1,0,0,1,0,1,1,1,0,0,2.302585093
3074-001-04,2020-21,Mainland Rural,1,1,1,0,1,1,0,1,1,1,0,0,1,1,2.302585093
3075-001-02,2020-21,Mainland Rural,0,0,0,0,0,1,1,0,1,0,0,1,0,2,1.791759469
3076-001-01,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1.609437912
3076-001-04,2020-21,Mainland Rural,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1.945910149
3077-001-01,2020-21,Mainland Rural,2,1,3,1,2,1,2,0,0,0,1,1,0,0,2.63905733
3078-001-01,2020-21,Mainland Rural,0,2,1,1,2,0,0,1,0,1,1,1,0,0,2.302585093
3078-001-02,2020-21,Mainland Rural,3,2,2,0,1,0,0,1,3,2,0,1,0,0,2.708050201
3090-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1.386294361
3091-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1.098612289
3092-001-01,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361
3093-001-01,2020-21,Mainland Rural,0,4,2,1,1,1,0,3,2,1,1,1,0,0,2.833213344
3094-001-01,2020-21,Mainland Rural,0,0,0,1,2,1,0,0,2,0,1,1,0,0,2.079441542
3095-001-01,2020-21,Mainland Rural,0,0,2,0,1,0,0,1,2,0,0,1,1,0,2.079441542
3097-001-01,2020-21,Mainland Rural,1,1,2,0,2,0,0,1,0,0,1,1,0,0,2.197224577
3109-001-01,2020-21,Mainland Rural,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1.386294361
3110-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3112-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
3113-001-01,2020-21,Mainland Rural,0,1,0,1,0,2,0,1,0,0,1,1,0,0,1.945910149
3114-001-01,2020-21,Mainland Rural,2,2,1,0,1,1,1,1,0,1,0,1,0,1,2.48490665
3115-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,2,0,2,0,0,0,0,1,1.791759469
3116-001-01,2020-21,Mainland Rural,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1.791759469
3117-001-01,2020-21,Mainland Rural,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1.386294361
3128-001-01,2020-21,Mainland Rural,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
3128-001-02,2020-21,Mainland Rural,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
3129-001-01,2020-21,Mainland Rural,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1.945910149
3130-001-01,2020-21,Mainland Rural,1,0,0,1,0,1,1,2,0,0,1,1,0,0,2.079441542
3130-001-03,2020-21,Mainland Rural,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1.609437912
3131-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1.098612289
3131-001-02,2020-21,Mainland Rural,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
3131-001-06,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3132-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3133-001-01,2020-21,Mainland Rural,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1.791759469
3134-001-01,2020-21,Mainland Rural,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1.609437912
3135-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3147-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1.386294361
3147-001-03,2020-21,Mainland Other Urban,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
3148-001-01,2020-21,Mainland Other Urban,0,0,0,1,1,0,0,0,1,3,0,0,0,1,1.945910149
3148-001-02,2020-21,Mainland Other Urban,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
3149-001-01,2020-21,Mainland Other Urban,0,1,0,1,0,2,1,1,0,1,0,0,0,1,2.079441542
3150-001-01,2020-21,Mainland Other Urban,0,0,1,0,1,0,0,1,2,0,0,1,1,0,1.945910149
3150-001-09,2020-21,Mainland Other Urban,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3151-001-02,2020-21,Mainland Other Urban,0,0,2,2,1,1,0,0,0,0,0,1,0,0,1.945910149
3152-001-01,2020-21,Mainland Other Urban,0,2,1,0,0,0,1,0,0,2,0,1,1,0,2.079441542
3154-001-01,2020-21,Mainland Other Urban,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1.791759469
3166-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,2,2,0,0,0,0,1,1.791759469
3167-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6931471806
3168-001-01,2020-21,Mainland Rural,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1.791759469
3168-001-03,2020-21,Mainland Rural,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
3169-001-01,2020-21,Mainland Rural,0,0,1,0,1,2,0,0,0,0,1,1,0,1,1.945910149
3170-001-01,2020-21,Mainland Rural,0,1,1,0,1,1,0,1,0,1,0,1,0,1,2.079441542
3171-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
3172-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3173-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
3185-001-01,2020-21,Mainland Rural,0,1,1,0,1,1,3,0,0,1,0,0,1,1,2.302585093
3186-001-01,2020-21,Mainland Rural,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1.609437912
3187-001-01,2020-21,Mainland Rural,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1.386294361
3188-001-01,2020-21,Mainland Rural,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1.609437912
3189-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3189-001-02,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
3190-001-01,2020-21,Mainland Rural,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1.945910149
3191-001-01,2020-21,Mainland Rural,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1.386294361
3192-001-01,2020-21,Mainland Rural,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
3204-001-01,2020-21,Mainland Rural,0,0,1,1,1,1,1,0,0,1,0,1,1,0,2.079441542
3204-001-07,2020-21,Mainland Rural,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1.609437912
3205-001-01,2020-21,Mainland Rural,0,1,1,1,1,2,0,1,1,0,1,2,0,0,2.397895273
3205-001-04,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3205-001-06,2020-21,Mainland Rural,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
3205-001-10,2020-21,Mainland Rural,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
3206-001-01,2020-21,Mainland Rural,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1.386294361
3206-001-03,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
3206-001-04,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3206-001-06,2020-21,Mainland Rural,1,0,1,1,0,2,1,0,0,0,1,2,0,0,2.197224577
3207-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3208-001-01,2020-21,Mainland Rural,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1.791759469
3209-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1.386294361
3210-001-01,2020-21,Mainland Rural,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
3210-001-02,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
3211-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1.386294361
3211-001-02,2020-21,Mainland Rural,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1.609437912
3223-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1.609437912
3223-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3224-001-01,2020-21,Mainland Rural,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
3225-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3226-001-02,2020-21,Mainland Rural,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1.386294361
3226-001-04,2020-21,Mainland Rural,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
3226-001-05,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3227-001-01,2020-21,Mainland Rural,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1.945910149
3228-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289
3229-001-01,2020-21,Mainland Rural,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.098612289
3230-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3242-001-02,2020-21,Mainland Other Urban,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1.386294361
3242-001-04,2020-21,Mainland Other Urban,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1.609437912
3243-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1.609437912
3245-001-01,2020-21,Mainland Other Urban,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1.791759469
3245-001-02,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
3246-001-02,2020-21,Mainland Other Urban,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
3247-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3248-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1.609437912
3249-001-02,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1.609437912
3261-001-01,2020-21,Mainland Rural,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1.609437912
3262-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1.609437912
3262-001-03,2020-21,Mainland Rural,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912
3263-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1.609437912
3263-001-04,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3264-001-01,2020-21,Mainland Rural,0,1,1,1,0,1,1,0,1,1,0,1,0,0,2.079441542
3264-001-03,2020-21,Mainland Rural,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
3265-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
3266-001-02,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3267-001-01,2020-21,Mainland Rural,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
3268-001-01,2020-21,Mainland Rural,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1.386294361
3280-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1.609437912
3280-001-03,2020-21,Zanzibar,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
3282-001-01,2020-21,Zanzibar,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1.609437912
3283-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
3284-001-01,2020-21,Zanzibar,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.098612289
3285-001-01,2020-21,Zanzibar,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1.609437912
3286-001-01,2020-21,Zanzibar,2,0,2,0,0,1,0,1,0,0,1,1,0,0,2.079441542
3287-001-01,2020-21,Zanzibar,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1.945910149
3287-001-03,2020-21,Zanzibar,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
3291-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1.386294361
3299-001-01,2020-21,Zanzibar,0,0,0,1,1,0,2,0,0,0,0,1,1,0,1.791759469
3300-001-01,2020-21,Zanzibar,0,0,0,0,0,0,1,1,2,2,0,1,1,0,2.079441542
3300-001-03,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
3300-001-08,2020-21,Zanzibar,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
3302-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.386294361
3305-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1.791759469
3305-001-04,2020-21,Zanzibar,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1.386294361
3305-001-05,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
3306-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1.791759469
3308-001-01,2020-21,Zanzibar,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1.609437912
3308-001-04,2020-21,Zanzibar,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
3308-001-06,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
3319-001-01,2020-21,Zanzibar,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1.609437912
3320-001-01,2020-21,Zanzibar,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.098612289
3321-001-01,2020-21,Zanzibar,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1.609437912
3321-001-06,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.6931471806
3322-001-01,2020-21,Zanzibar,0,3,1,0,0,1,0,0,0,1,1,0,0,0,1.945910149
3323-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1.386294361
3324-001-01,2020-21,Zanzibar,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1.609437912
3325-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,4,0,1,0,1,1,1.945910149
3326-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3337-001-01,2020-21,Zanzibar,0,0,0,2,0,1,0,1,2,2,1,1,0,0,2.302585093
3337-001-10,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
3338-001-01,2020-21,Zanzibar,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1.386294361
3338-001-02,2020-21,Zanzibar,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
3338-001-06,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
3339-001-01,2020-21,Zanzibar,1,1,0,0,0,0,0,1,2,2,1,0,0,1,2.197224577
3340-001-01,2020-21,Zanzibar,0,0,1,0,2,0,0,0,0,0,1,1,0,1,1.791759469
3341-001-01,2020-21,Zanzibar,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1.791759469
3341-001-05,2020-21,Zanzibar,0,2,0,0,0,0,1,0,2,2,0,0,0,0,1.945910149
3343-001-01,2020-21,Zanzibar,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2.48490665
3343-001-07,2020-21,Zanzibar,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3344-001-01,2020-21,Zanzibar,0,1,2,1,1,0,2,0,0,0,1,1,0,0,2.197224577
3356-001-01,2020-21,Zanzibar,0,0,0,1,1,0,3,0,3,0,0,1,1,0,2.302585093
3358-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1.098612289
3360-001-01,2020-21,Zanzibar,0,1,0,1,1,0,0,0,0,0,1,2,0,0,1.791759469
3362-001-01,2020-21,Zanzibar,0,0,0,1,3,0,0,0,0,0,1,1,0,0,1.791759469
3363-001-01,2020-21,Zanzibar,0,1,1,1,2,0,0,0,0,1,1,1,0,0,2.079441542
3364-001-01,2020-21,Zanzibar,0,0,2,0,0,2,0,0,0,1,1,1,0,0,1.945910149
3366-001-01,2020-21,Zanzibar,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1.386294361
3375-001-01,2020-21,Zanzibar,0,0,0,0,0,1,0,1,2,0,0,0,1,1,1.791759469
3375-001-05,2020-21,Zanzibar,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1.386294361
3377-001-02,2020-21,Zanzibar,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1.791759469
3377-001-03,2020-21,Zanzibar,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
3378-001-01,2020-21,Zanzibar,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1.386294361
3379-001-01,2020-21,Zanzibar,0,0,0,0,1,1,2,0,2,3,0,1,1,0,2.397895273
3380-001-02,2020-21,Zanzibar,0,0,0,2,1,0,0,0,2,0,0,1,0,0,1.791759469
3380-001-03,2020-21,Zanzibar,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
3380-001-05,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
3381-001-01,2020-21,Zanzibar,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1.945910149
3385-001-01,2020-21,Zanzibar,1,0,0,1,0,1,1,0,1,1,1,1,0,0,2.079441542
3385-001-03,2020-21,Zanzibar,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289
3387-001-01,2020-21,Zanzibar,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1.609437912
3387-001-03,2020-21,Zanzibar,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
3387-001-04,2020-21,Zanzibar,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
3394-001-01,2020-21,Zanzibar,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1.791759469
3395-001-01,2020-21,Zanzibar,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
3396-001-01,2020-21,Zanzibar,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1.609437912
3397-001-01,2020-21,Zanzibar,0,1,0,0,2,0,0,0,0,0,1,1,0,0,1.609437912
3398-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
3399-001-01,2020-21,Zanzibar,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1.609437912
3400-001-01,2020-21,Zanzibar,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1.609437912
3400-001-03,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289
3401-001-01,2020-21,Zanzibar,0,0,0,2,0,2,0,0,1,0,1,1,0,0,1.945910149
3401-001-06,2020-21,Zanzibar,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
3413-001-01,2020-21,Zanzibar,0,0,1,1,0,1,2,0,2,0,1,1,1,1,2.397895273
3414-001-01,2020-21,Zanzibar,1,0,0,1,0,2,0,0,2,0,1,1,0,0,2.079441542
3415-001-01,2020-21,Zanzibar,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.098612289
3416-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289
3417-001-01,2020-21,Zanzibar,0,0,0,1,2,0,0,2,2,2,1,1,0,0,2.397895273
3419-001-02,2020-21,Zanzibar,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1.791759469
3420-001-01,2020-21,Zanzibar,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1.791759469
3432-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,4,3,0,1,0,1,2.197224577
3432-001-07,2020-21,Zanzibar,0,1,1,0,0,1,0,0,0,2,0,0,1,0,1.791759469
3433-001-01,2020-21,Zanzibar,0,0,0,0,0,0,2,1,1,3,0,0,1,1,2.197224577
3433-001-03,2020-21,Zanzibar,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
3433-001-04,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
3434-001-01,2020-21,Zanzibar,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1.386294361
3435-001-01,2020-21,Zanzibar,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1.791759469
3436-001-01,2020-21,Zanzibar,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1.386294361
3436-001-02,2020-21,Zanzibar,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1.609437912
3436-001-03,2020-21,Zanzibar,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3437-001-01,2020-21,Zanzibar,0,0,1,1,2,0,0,1,0,1,1,1,0,0,2.079441542
3438-001-01,2020-21,Zanzibar,0,1,0,0,1,0,0,2,0,2,0,1,1,0,2.079441542
3439-001-01,2020-21,Zanzibar,0,0,1,1,0,0,1,0,1,2,0,1,0,1,2.079441542
3451-001-01,2020-21,Zanzibar,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1.791759469
3452-001-01,2020-21,Zanzibar,2,0,1,0,0,1,0,0,0,0,1,1,0,0,1.791759469
3454-001-01,2020-21,Zanzibar,1,0,1,1,1,1,0,1,0,0,1,1,0,0,2.079441542
3455-001-01,2020-21,Zanzibar,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
3457-001-01,2020-21,Zanzibar,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
3461-001-01,2020-21,Zanzibar,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1.945910149
3462-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1.386294361
3470-001-02,2020-21,Zanzibar,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1.386294361
3470-001-03,2020-21,Zanzibar,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.098612289
3471-001-01,2020-21,Zanzibar,0,0,0,1,0,0,1,0,0,1,1,2,0,0,1.791759469
3471-001-04,2020-21,Zanzibar,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
3471-001-05,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3472-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1.386294361
3474-001-01,2020-21,Zanzibar,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1.791759469
3476-001-02,2020-21,Zanzibar,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1.609437912
3477-001-01,2020-21,Zanzibar,1,0,0,1,0,0,1,0,0,3,2,0,1,1,2.302585093
3477-001-03,2020-21,Zanzibar,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
3478-001-01,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
3478-001-03,2020-21,Zanzibar,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1.791759469
3480-001-01,2020-21,Zanzibar,1,0,1,2,1,1,1,0,0,0,1,1,0,0,2.197224577
3489-001-01,2020-21,Zanzibar,1,0,1,0,1,0,0,1,0,0,0,1,0,3,2.079441542
3489-001-03,2020-21,Zanzibar,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1.386294361
3489-001-04,2020-21,Zanzibar,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1.609437912
3490-001-01,2020-21,Zanzibar,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1.609437912
